Tweet,Sentiment
"Link video di rep twt deddy diatas adalah salah satu contoh kegagapan pemerintah periode skrg dalam menyiapkan makan siang gratis. sebenernya program makan siang gratis ini bukan prioritas untuk menaikkan kualitas sdm indo, menurut sy. cm krn udh terlanjur yaudah lah anying—",Neutral
Program makan siang gratis program ladang koropsi,Neutral
"Asal bukan media asing china, sebab china ikut bantu rp72t untuk program makan siang gratis. 😂",Neutral
"Di sekolah anak gue gak ada tuh makan siang gratis 🤣 anak gue dr jaman dulu juga makan gratis, gak penting , itu program bodoh !! amanat uud 45 itu pendidikan gratis, banyak anak bangsa putus sekolah,dedy corbuzier lu tambah lama tambah tolol 🤣",Neutral
"Dari poin yg sudah saya sampaikan, tinggal masukan aja, point program makan siang gratis yg berpotensi menyebabkan masalah struktural layak untuk diteruskan, diperbaiki atau di stop",Neutral
"Semenjak ada program makan siang gratis ini, gimana nasib yang jualan di kantin sekolah ya?",Neutral
Ngerti konteksnya gasih astaga? ini lan program pemerintah. wajar lah dikritik. namanya makan siang gratis padahal sebenernya ga gratis. ga ada gizi nya juga. astagaaaaaa,Neutral
"Saran saya pak gak usah malu buat stop program makan gratis, mending uang anggaran bisa dimanfaatkan untuk hal positif lainya, program itu justru menjadi ajang cari untung n korupsi jg hasil makanannya dibawah kwalitas, masak dr fajar sampek siang tuh ada yg basi",Neutral
"Bener2 bersyukur homeschooling ga approve program makan bergizi (siang) gratis, mereka mengkritisinya to the point anti gaenakan dan bakal frontal sampe ke akar2",Neutral
Program makan siang bergizi gratis memberikan harapan baru bagi para siswa di papua agar bisa tumbuh dengan sehat dan cerdas,Neutral
"Hei kenapa gak kaji ulang program makan siang gratis kalian yg keteteran, menu makan juga gak layak…",Neutral
"Klo ada 1 kata yang harus dihilangin dari ""program makan siang bergizi gratis"", menurut gw ya gratis nya itu",Neutral
"Lihat bagaimana dan dedi ""tituler"" sudah turun gunung itu berarti mereka sudah kebakaran jenggot akibat ulah mereka sendiri terlalu gegabah bikin program makan siang gratis nyekek",Neutral
Influencer pro rezim ketika ada anak yang gak suka menu makanan di program makan siang gratis:,Neutral
Jadi kepikiran kalau program makan siang gratis tuh sebenernya belum sempet didiskusikan sama prabowo dan timsesnya pad…,Neutral
"Pemerintah hanya sibuk memikirkan sumber dana program makan siang gratis ini, comot sana, comot sini. realisasi…",Neutral
"Antara mbg dengan kemampuan ortu ngasih mi instan adalah dua kasus yg berbeda. program mbg katanya solusi masalah stanting, makan mi instan adl masalah kemiskinan. masalah kemiskinan tentu solusinya bukan makan siang gratis, tapi berikan pekerjaan dan upah yg layak!!!",Neutral
Gak ngaca ya? program makan siang gratis sama aja kan?,Neutral
Emang ada ya buzzer khusus mengkritisi program makan siang gratis itu? emang siapa yang bayar?,Neutral
"Dengan lebih baik dalam segi apapun. semua senang kalau negara beneran bisa bikin program yang beneran bagus. kalau makan bergizi gratis ini nanti dievaluasi terus menerus, mungkin anak cucu kita bisa merasakan makan siang enak kenyang dan bernutrisi di sekolah setiap hari.",Neutral
"Program makan siang gratis ada anak yang request menu sushi atau katsu, bro pikir ini warung ramen ichiraku apa.",Neutral
Smp negeri woropko dukung program makan siang gratis,Neutral
"Org menengah kali, org kaya mah bodo amat bayangin aja uang pajak hasil jerih payah smpe liang bool bekeringat dianggarkan ke program yg trnyata tdk sesuai janji, apalagi makan siang gratis blm merata di tiap daerah, ada yg menunya wow, ada jg yg memprihatinkan",Positive
"Lihat bagaimana dan dedi ""tituler"" sudah turun gunung itu berarti mereka sudah kebakaran jenggot a…",Neutral
"Kalau tujuan program makan siang bergizi gratis adalah untuk mencegah stunting, sementara menu yang disajikan juga terny…",Neutral
Program tidak ada makan siang gratis,Neutral
Ayo...siapa yg berani bilang program makan siang gratis di jepang krn anak2 di jepang lapar?,Neutral
Program makan siang gratis ide anies baswedan,Neutral
Program makan siang gratis,Neutral
"Assalamualaikum bapak prabowo, tanpa mengurangi rasa hormat, kami mohon kesediaan bapak untuk membantu melakukan deploy token $prabowo di pumpfun sebagai upaya menambahkan dana untuk program makan siang gratis. terima kasih atas perhatian dan dukungannya",Neutral
Setan2 goblok bawahan prabowo lagi sibuk cari alternatif dana untuk program tolol.. makan siang gratis,Neutral
Masih ingat adegan spiderman ini? peter parker dan mary jane lagi di kantin mau menyantap makan siang yg disediakan pemeri…,Neutral
"Direktur bpjs, dpr, mentri, wamen dan pejabat lain aja yg di stop tunjangannya alihin ke bpjs. ini bpjs engga bi…",Neutral
"Bahkan di riau ada kabupaten yang blm bayar tunjangan kinerjanya pns yg bln desember, ada juga kabupaten yang puskesmas-nya suruh cari duit sendiri buat melayani pasiennya, sekarang diminta pemerintah pusat bantu program makan siang gratis,,?? apa gak bangkrut tuh kabupaten???",Neutral
Opini gue kontra sama om ded. makan siang gratis itu gak gratis tapi pake apbn. anak-anak indonesia harusnya dibiasakan unt…,Neutral
Program makan siang bergizi gratis for vampires,Neutral
Kalo tujuan awalnya mengurangi stunting harusnya emg full niat pake ahli gizi nakar tiap porsinya. klo lia…,Positive
"Betul. gak ada program lain selain makan siang gratis, penggemukan wajib pajak di kebun binatang, dan mencabut ijin tambang ilegal. 🤣🤣🤣 selain itu nggak ada yang dikampanyekan. oh, joget gemoy sih, yang sekarang dijadikan senam politik.",Neutral
